id,name,type,score2011,rank2011,score2009,rank2009
194,Maple Leaf Public School,1,0.9915,1,0.9928,1
1355,Lord Dufferin Junior and Senior Public School,1,0.9869,2,0.9825,6
247,Shoreham Public School,1,0.9867,3,0.9862,4
1260,Willow Park Junior Public School,1,0.9835,4,0.9831,5
1391,Regent Park/Duke of York Junior Public School,1,0.9823,5,0.987,3
1382,Nelson Mandela Park Public School,1,0.9821,6,0.9901,2
126,Flemington Public School,1,0.98,7,0.9803,7
1403,Sprucecourt Junior Public School,1,0.9764,8,0.9802,8
100,Driftwood Public School,1,0.9753,9,0.9729,9
296,Yorkwoods Public School,1,0.9673,10,0.9487,20
168,Firgrove Public School,1,0.9671,11,0.9637,10
66,Chalkfarm Public School,1,0.9656,12,0.9588,13
190,Lawrence Heights Middle School,1,0.956,13,0.9537,16
1429,Cordella Junior Public School,1,0.9552,14,0.9313,24
180,Brookview Middle School,1,0.9519,15,0.9571,14
1146,Eastview Junior Public School,1,0.9518,16,0.9503,17
1364,Metropolitan Toronto School for the Deaf,1,0.9491,17,0.949,19
1438,H J Alexander Community School,1,0.9478,18,0.957,15
267,Topcliff Public School,1,0.945,19,0.9597,12
209,Oakdale Park Middle School,1,0.9443,20,0.9139,31
1398,Ryerson Community School,1,0.9365,21,0.9426,22
1424,Bala Avenue Community School,1,0.9342,22,0.9493,18
144,Gosford Public School,1,0.9319,23,0.9611,11
26,Baycrest Public School,1,0.9299,24,0.9018,40
1437,George Syme Community School,1,0.9239,25,0.9304,25
1239,St Margaret's Public School,1,0.9237,26,0.941,23
1275,Blake Street Junior Public School,1,0.9234,27,0.9065,35
1123,Cedar Drive Junior Public School,1,0.921,28,0.9272,26
1428,Charles E Webster Junior Public School,1,0.92,29,0.9267,27
1445,Keelesdale Junior Public School,1,0.9155,30,0.9054,37
1154,Galloway Road Public School,1,0.9154,31,0.9463,21
1387,Queen Alexandra Middle School,1,0.9153,32,0.9057,36
54,Calico Public School,1,0.9133,33,0.8892,46
1174,Highland Heights Junior Public School,1,0.91,34,0.8694,55
211,Beverley Heights Middle School,1,0.9043,35,0.8918,45
1046,Greenholme Junior Middle School,1,0.9041,36,0.9174,29
28,Blacksmith Public School,1,0.9012,37,0.8525,59
1431,Dennis Avenue Community School,1,0.901,38,0.9233,28
1449,Rockcliffe Middle School,1,0.8978,39,0.889,47
1250,Warden Avenue Public School,1,0.8955,40,0.9158,30
15,Amesbury Middle School,1,0.8911,41,0.8974,44
1853,Portage Trail Community Middle School,1,0.889,42,0.9048,38
1252,West Hill Public School,1,0.8872,43,0.8979,43
1203,Mason Road Junior Public School,1,0.8845,44,0.881,49
